path,condition,test_type,cell,visit,test_id,rpt_T_degC,size_MB,DOD_pct,C_ch,C_dis,T_degC,rows,duration_s,dt_median_s,dt_mean_s,V_min,V_max,V_mean,V_std,I_min,I_max,I_mean,I_std,T_min,T_max,T_mean,T_std,Ah_min,Ah_max,Ah_span,n_steps,Q_charge_Ah_total,Q_discharge_Ah_total,parse_status
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/CU_at_25degC/S2000FOQ09_CU_at25degC_V00_4825.ird,DOD100_0.5C0.5C_-10degC,CU,S2000FOQ09,0,4825,25,15.424,100.0,0.5,0.5,-10.0,179830.0,299498.228046285,1.0000025139888749,1.6654612328728124,1.4998263120651245,3.800386428833008,2.9097235202789307,0.582259476184845,-2.4002535343170166,2.4042763710021973,-0.030686337500810623,0.44880610704421997,22.247560501098633,27.098339080810547,25.000642776489258,0.29593583941459656,-0.6504299640655518,0.5953947305679321,1.2458246946334839,126.0,3.6917159305116654,4.16262775813801,ok
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/CU_at_25degC/S2000FQ6K4_CU_at25degC_V00_4827.ird,DOD100_0.5C0.5C_-10degC,CU,S2000FQ6K4,0,4827,25,15.462,100.0,0.5,0.5,-10.0,180054.0,300013.204079239,1.0000041869934648,1.666249404782142,1.4992386102676392,3.800346612930298,2.9100377559661865,0.5809457898139954,-2.4001386165618896,2.407501697540283,-0.03082791343331337,0.44872990250587463,22.104610443115234,27.012819290161133,24.998271942138672,0.2889440357685089,-0.6564369797706604,0.592768669128418,1.2492055892944336,126.0,3.7011935309129003,4.178388387778525,ok
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/CU_at_25degC/S2000FQHB2_CU_at25degC_V00_4826.ird,DOD100_0.5C0.5C_-10degC,CU,S2000FQHB2,0,4826,25,15.481,100.0,0.5,0.5,-10.0,180399.0,300861.574496953,1.0000041909515858,1.667765576652474,1.4992616176605225,3.8004050254821777,2.905834674835205,0.58403480052948,-2.4001975059509277,2.404609203338623,-0.03080950304865837,0.4485478401184082,22.30838966369629,26.90896987915039,25.050395965576172,0.2681065499782562,-0.6516251564025879,0.603308379650116,1.2549335956573486,126.0,3.722077782781974,4.194206814344194,ok
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/CU_at_25degC/S2000FQHB2_CU_at25degC_V01_4886.ird,DOD100_0.5C0.5C_-10degC,CU,S2000FQHB2,1,4886,25,14.916,100.0,0.5,0.5,-10.0,175010.0,291685.703639188,1.0000075430143625,1.66668973389476,1.499482274055481,3.800201416015625,2.9084877967834473,0.5959722995758057,-2.4001574516296387,2.401580810546875,-0.021172644570469856,0.4477289021015167,24.86920928955078,27.962730407714844,26.235919952392578,0.23732233047485352,-0.15738387405872345,1.0526615381240845,1.2100454568862915,126.0,3.605727673406051,3.591052194356115,ok
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/Cycling_Periods/S2000FOQ09_CU_at-10degC_V01_4850.ird,DOD100_0.5C0.5C_-10degC,CYC,S2000FOQ09,1,4850,-10,30.148,100.0,0.5,0.5,-10.0,334645.0,2481023.375437702,9.999908646801487,7.413918598384261,-6.2494988441467285,6.2477827072143555,3.0427980422973633,0.6333632469177246,-0.6000633835792542,0.6000474691390991,0.012638394720852375,0.3717811703681946,-11.425959587097168,-1.7297500371932983,-8.823925971984863,1.913079857826233,-2.0417164137143118e-07,13.879255294799805,13.879255294799805,1224.0,120.5857309194256,107.77911017815073,ok
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/Cycling_Periods/S2000FQ6K4_CU_at-10degC_V01_4852.ird,DOD100_0.5C0.5C_-10degC,CYC,S2000FQ6K4,1,4852,-10,31.508,100.0,0.5,0.5,-10.0,349645.0,2628026.044176794,9.999917028006166,7.516290982189868,-6.249814987182617,6.247335910797119,3.034497022628784,0.6237362623214722,-0.6023779511451721,0.6000505089759827,0.013358978554606438,0.38580286502838135,-10.570380210876465,-2.455980062484741,-8.343652725219727,1.864385962486267,-2.0541847334243357e-07,14.964386940002441,14.964386940002441,1224.0,134.54373153959352,120.54525399919117,ok
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/Cycling_Periods/S2000FQHB2_CU_at-10degC_V01_4851.ird,DOD100_0.5C0.5C_-10degC,CYC,S2000FQHB2,1,4851,-10,39.101,100.0,0.5,0.5,-10.0,427683.0,3574008.685119611,9.999997487990186,8.356696529476599,1.4992616176605225,3.8002142906188965,2.95454478263855,0.599766731262207,-0.6018116474151611,0.6000496745109558,0.028907129541039467,0.4777597486972809,-11.195380210876465,-2.3063299655914307,-8.448225021362305,1.8128080368041992,-1.3080148164590355e-07,35.993873596191406,35.993873596191406,1213.0,247.47552396966745,212.74183876974345,ok
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/CU_at_25degC/S2000FNPEL_CU_at25degC_V00_4839.ird,DOD100_0.5C0.5C_50degC,CU,S2000FNPEL,0,4839,25,15.348,100.0,0.5,0.5,50.0,178992.0,297279.828062194,1.0000025139888749,1.6608646695207803,1.4997140169143677,3.8004202842712402,2.9114952087402344,0.5838372707366943,-2.428459405899048,2.4139552116394043,-0.030523404479026794,0.449375718832016,21.326030731201172,27.95966911315918,22.65201187133789,1.8600263595581055,-0.6369916796684265,0.5929147005081177,1.2299063205718994,126.0,3.655633430893316,4.120400115779891,ok
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/CU_at_25degC/S2000FNPEL_CU_at25degC_V01_4882.ird,DOD100_0.5C0.5C_50degC,CU,S2000FNPEL,1,4882,25,15.537,100.0,0.5,0.5,50.0,180948.0,299514.20761684503,1.000003352004569,1.6552593169096201,1.499717354774475,3.800224781036377,2.8952136039733887,0.5752420425415039,-2.400193691253662,2.405792713165283,-0.03657969832420349,0.450549453496933,24.60157012939453,27.89858055114746,25.837879180908203,0.3150694966316223,-0.968189001083374,0.26577961444854736,1.2339686155319214,126.0,3.6492566713986228,4.438330214772349,ok
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/CU_at_25degC/S2000FOMBK_CU_at25degC_V00_4837.ird,DOD100_0.5C0.5C_50degC,CU,S2000FOMBK,0,4837,25,15.449,100.0,0.5,0.5,50.0,179948.0,299554.337798374,1.0000050259986892,1.6646809215956588,1.499335765838623,3.8004157543182373,2.9081802368164062,0.583215057849884,-2.400177240371704,2.405792713165283,-0.030840007588267326,0.44892221689224243,21.435510635375977,27.871599197387695,22.726608276367188,1.7786344289779663,-0.6477921009063721,0.5980590581893921,1.2458511590957642,126.0,3.701479192477,4.17679562385999,ok
