path,condition,test_type,cell,visit,test_id,rpt_T_degC,size_MB,DOD_pct,C_ch,C_dis,T_degC
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/CU_at_25degC/S2000FOQ09_CU_at25degC_V00_4825.ird,DOD100_0.5C0.5C_-10degC,CU,S2000FOQ09,0,4825,25,15.424,100.0,0.5,0.5,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/CU_at_25degC/S2000FQ6K4_CU_at25degC_V00_4827.ird,DOD100_0.5C0.5C_-10degC,CU,S2000FQ6K4,0,4827,25,15.462,100.0,0.5,0.5,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/CU_at_25degC/S2000FQHB2_CU_at25degC_V00_4826.ird,DOD100_0.5C0.5C_-10degC,CU,S2000FQHB2,0,4826,25,15.481,100.0,0.5,0.5,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/CU_at_25degC/S2000FQHB2_CU_at25degC_V01_4886.ird,DOD100_0.5C0.5C_-10degC,CU,S2000FQHB2,1,4886,25,14.916,100.0,0.5,0.5,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/Cycling_Periods/S2000FOQ09_CU_at-10degC_V01_4850.ird,DOD100_0.5C0.5C_-10degC,CYC,S2000FOQ09,1,4850,-10,30.148,100.0,0.5,0.5,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/Cycling_Periods/S2000FQ6K4_CU_at-10degC_V01_4852.ird,DOD100_0.5C0.5C_-10degC,CYC,S2000FQ6K4,1,4852,-10,31.508,100.0,0.5,0.5,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_-10degC/Cycling_Periods/S2000FQHB2_CU_at-10degC_V01_4851.ird,DOD100_0.5C0.5C_-10degC,CYC,S2000FQHB2,1,4851,-10,39.101,100.0,0.5,0.5,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/CU_at_25degC/S2000FNPEL_CU_at25degC_V00_4839.ird,DOD100_0.5C0.5C_50degC,CU,S2000FNPEL,0,4839,25,15.348,100.0,0.5,0.5,50.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/CU_at_25degC/S2000FNPEL_CU_at25degC_V01_4882.ird,DOD100_0.5C0.5C_50degC,CU,S2000FNPEL,1,4882,25,15.537,100.0,0.5,0.5,50.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/CU_at_25degC/S2000FOMBK_CU_at25degC_V00_4837.ird,DOD100_0.5C0.5C_50degC,CU,S2000FOMBK,0,4837,25,15.449,100.0,0.5,0.5,50.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/CU_at_25degC/S2000FOMBK_CU_at25degC_V01_4884.ird,DOD100_0.5C0.5C_50degC,CU,S2000FOMBK,1,4884,25,15.189,100.0,0.5,0.5,50.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/CU_at_25degC/S2000FQJRF_CU_at25degC_V00_4838.ird,DOD100_0.5C0.5C_50degC,CU,S2000FQJRF,0,4838,25,15.476,100.0,0.5,0.5,50.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/CU_at_25degC/S2000FQJRF_CU_at25degC_V01_4890.ird,DOD100_0.5C0.5C_50degC,CU,S2000FQJRF,1,4890,25,15.526,100.0,0.5,0.5,50.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/Cycling_Periods/S2000FNPEL_CU_at50degC_V01_4866.ird,DOD100_0.5C0.5C_50degC,CYC,S2000FNPEL,1,4866,50,38.383,100.0,0.5,0.5,50.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/Cycling_Periods/S2000FOMBK_CU_at50degC_V01_4864.ird,DOD100_0.5C0.5C_50degC,CYC,S2000FOMBK,1,4864,50,38.355,100.0,0.5,0.5,50.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/Cycling_Periods/S2000FQJRF_CU_at50degC_V01_4865.ird,DOD100_0.5C0.5C_50degC,CYC,S2000FQJRF,1,4865,50,38.429,100.0,0.5,0.5,50.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_-10degC/CU_at_25degC/S2000FOSGS_CU_at25degC_V00_4836.ird,DOD100_1C1C_-10degC,CU,S2000FOSGS,0,4836,25,15.47,100.0,1.0,1.0,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_-10degC/CU_at_25degC/S2000FPFHG_CU_at25degC_V00_4834.ird,DOD100_1C1C_-10degC,CU,S2000FPFHG,0,4834,25,15.38,100.0,1.0,1.0,-10.0
