feature,group,scope,n_rows,n_present,coverage
previous_rpt_Q_Ah,state,all,254,254,1.0
previous_rpt_Q_Ah,state,DOD100_0.5C0.5C_-10degC,3,3,1.0
previous_rpt_Q_Ah,state,DOD100_0.5C0.5C_50degC,3,3,1.0
previous_rpt_Q_Ah,state,DOD100_1C1C_-10degC,3,3,1.0
previous_rpt_Q_Ah,state,DOD100_1C1C_25degC,24,24,1.0
previous_rpt_Q_Ah,state,DOD100_1C1C_40degC,13,13,1.0
previous_rpt_Q_Ah,state,DOD100_1C1C_50degC,3,3,1.0
previous_rpt_Q_Ah,state,DOD100_2C2C_-10degC,2,2,1.0
previous_rpt_Q_Ah,state,DOD100_2C2C_25degC,30,30,1.0
previous_rpt_Q_Ah,state,DOD100_2C2C_40degC,15,15,1.0
previous_rpt_Q_Ah,state,DOD100_2C2C_50degC,2,2,1.0
previous_rpt_Q_Ah,state,DOD20_2C2C_25degC,39,39,1.0
previous_rpt_Q_Ah,state,DOD20_2C2C_40degC,39,39,1.0
previous_rpt_Q_Ah,state,DOD80_1C1C_-10degC,3,3,1.0
previous_rpt_Q_Ah,state,DOD80_2C2C_25degC,39,39,1.0
previous_rpt_Q_Ah,state,DOD80_2C2C_40degC,33,33,1.0
previous_rpt_Q_Ah,state,DOD80_2C2C_50degC,3,3,1.0
previous_rpt_SOH_pct,state,all,254,254,1.0
previous_rpt_SOH_pct,state,DOD100_0.5C0.5C_-10degC,3,3,1.0
previous_rpt_SOH_pct,state,DOD100_0.5C0.5C_50degC,3,3,1.0
previous_rpt_SOH_pct,state,DOD100_1C1C_-10degC,3,3,1.0
previous_rpt_SOH_pct,state,DOD100_1C1C_25degC,24,24,1.0
previous_rpt_SOH_pct,state,DOD100_1C1C_40degC,13,13,1.0
previous_rpt_SOH_pct,state,DOD100_1C1C_50degC,3,3,1.0
previous_rpt_SOH_pct,state,DOD100_2C2C_-10degC,2,2,1.0
previous_rpt_SOH_pct,state,DOD100_2C2C_25degC,30,30,1.0
