feature,group,kind,role,unit,source_columns,reference_window,uses_only_past_or_current,uses_future_cycles,uses_future_rpt,target_derived,present_in_table,missingness_rate,finite_rate,enabled_in_registry,registry_version
previous_rpt_Q_Ah,state,continuous,initial_state,Ah,previous_rpt_Q_Ah,previous_rpt,True,False,False,False,True,0.0,1.0,True,unified-v1
previous_rpt_SOH_pct,state,continuous,feature,%,previous_rpt_SOH_pct,previous_rpt,True,False,False,False,True,0.0,1.0,True,unified-v1
EFC_cum,state,continuous,stress_coordinate,equivalent_full_cycles,Q_discharge_Ah,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
DOD_pct,condition,continuous,feature,%,DOD_pct,protocol_constant,True,False,False,False,True,0.0,1.0,True,unified-v1
C_ch,condition,continuous,feature,1/h,C_ch,protocol_constant,True,False,False,False,True,0.0,1.0,True,unified-v1
C_dis,condition,continuous,feature,1/h,C_dis,protocol_constant,True,False,False,False,True,0.0,1.0,True,unified-v1
T_degC,condition,continuous,feature,degC,T_degC,protocol_constant,True,False,False,False,True,0.0,1.0,True,unified-v1
visit_index,state,continuous,feature,count,visit,protocol_constant,True,False,False,False,True,0.0,1.0,True,unified-v1
Q_discharge_Ah,cycle_aggregate,continuous,feature,Ah,Q_discharge_Ah,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
coulombic_efficiency,cycle_aggregate,continuous,feature,ratio,Q_charge_Ah;Q_discharge_Ah,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
energy_loss_Wh,cycle_aggregate,continuous,feature,Wh,E_charge_Wh;E_discharge_Wh,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
voltage_hysteresis_V,cycle_aggregate,continuous,feature,V,E_charge_Wh;Q_charge_Ah;E_discharge_Wh;Q_discharge_Ah,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
T_max,cycle_aggregate,continuous,feature,degC,T_max,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
temperature_span_C,cycle_aggregate,continuous,feature,degC,T_max;T_min,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
Q_discharge_Ah_r10_slope,temporal,continuous,feature,Ah/cycle,Q_discharge_Ah,anchor_cycle_minus_9..anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
Q_discharge_Ah_r10_std,temporal,continuous,feature,Ah,Q_discharge_Ah,anchor_cycle_minus_9..anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
Q_discharge_Ah_dev_r10,temporal,continuous,feature,Ah,Q_discharge_Ah,anchor_cycle_minus_9..anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
coulombic_efficiency_r10_mean,temporal,continuous,feature,ratio,coulombic_efficiency,anchor_cycle_minus_9..anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
coulombic_efficiency_r10_slope,temporal,continuous,feature,1/cycle,coulombic_efficiency,anchor_cycle_minus_9..anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
dqv_logvar,dqv,continuous,feature,log(Ah^2),Voltage;Ah_counter,block_first..block_last,True,False,False,False,True,0.011811023622047244,0.9881889763779528,True,unified-v1
dqv_min,dqv,continuous,feature,Ah,Voltage;Ah_counter,block_first..block_last,True,False,False,False,True,0.011811023622047244,0.9881889763779528,True,unified-v1
dqv_l2,dqv,continuous,feature,Ah,Voltage;Ah_counter,block_first..block_last,True,False,False,False,True,0.011811023622047244,0.9881889763779528,True,unified-v1
dqv_skew,dqv,continuous,feature,dimensionless,Voltage;Ah_counter,block_first..block_last,True,False,False,False,True,0.011811023622047244,0.9881889763779528,True,unified-v1
dqv_v_at_max_abs_dev,dqv,continuous,feature,V,Voltage;Ah_counter,block_first..block_last,True,False,False,False,True,0.011811023622047244,0.9881889763779528,True,unified-v1
dqv_overlap_span_V,dqv,continuous,feature,V,Voltage,block_first..block_last,True,False,False,False,True,0.011811023622047244,0.9881889763779528,True,unified-v1
icdv_dis_peak1_V_shift,icdv,continuous,feature,V,Voltage;Ah_counter,block_first..block_last,True,False,False,False,True,0.011811023622047244,0.9881889763779528,True,unified-v1
icdv_dis_peak1_height_change,icdv,continuous,feature,Ah/V,Voltage;Ah_counter,block_first..block_last,True,False,False,False,True,0.011811023622047244,0.9881889763779528,True,unified-v1
thermal_discharge_rise_degC,thermal,continuous,feature,degC,Temperature,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
thermal_max_dTdt_degC_s,thermal,continuous,feature,degC/s,Temperature;Time,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
thermal_rise_per_Ah,thermal,continuous,feature,degC/Ah,Temperature;Ah_counter,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
dcir_prev_rpt_discharge_ohm,resistance,continuous,feature,ohm,Voltage;Current,previous_rpt,True,False,False,False,True,0.007874015748031496,0.9921259842519685,True,unified-v1
dcir_prev_rpt_delta_from_baseline_ohm,resistance,continuous,feature,ohm,Voltage;Current,initial_rpt..previous_rpt,True,False,False,False,True,0.007874015748031496,0.9921259842519685,True,unified-v1
inverse_temperature_1_K,interaction,continuous,feature,1/K,T_degC,protocol_constant,True,False,False,False,True,0.0,1.0,True,unified-v1
stress_x_DOD_fraction,interaction,continuous,feature,equivalent_full_cycles,Q_discharge_Ah;DOD_pct,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
stress_x_inverse_temperature,interaction,continuous,feature,EFC/K,Q_discharge_Ah;T_degC,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
stress_x_C_dis,interaction,continuous,feature,EFC/h,Q_discharge_Ah;C_dis,anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
dqv_available,flag,flag,feature,bool,Voltage;Ah_counter,block_first..block_last,True,False,False,False,True,0.0,1.0,True,unified-v1
icdv_available,flag,flag,feature,bool,Voltage;Ah_counter,block_first..block_last,True,False,False,False,True,0.0,1.0,True,unified-v1
dcir_available,flag,flag,feature,bool,Voltage;Current,previous_rpt,True,False,False,False,True,0.0,1.0,True,unified-v1
temporal_window_available,flag,flag,feature,bool,Q_discharge_Ah,anchor_cycle_minus_9..anchor_cycle,True,False,False,False,True,0.0,1.0,True,unified-v1
