cell,condition,outer_role,cv_fold,n_rows,holdout_fraction,achieved_cell_holdout_fraction,achieved_row_holdout_fraction,n_splits,random_state,cv_stratification_status,split_id
S2000FLPGG,DOD80_2C2C_40degC,holdout,,11,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FLYO2,DOD100_2C2C_40degC,holdout,,4,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FM244,DOD20_2C2C_40degC,holdout,,13,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FM42G,DOD100_1C1C_25degC,development,4,8,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FMEL8,DOD80_2C2C_40degC,development,3,11,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FMG4P,DOD100_2C2C_40degC,development,1,4,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FMK8H,DOD100_1C1C_40degC,development,4,4,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FMOQ0,DOD80_2C2C_40degC,development,2,11,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FMUJX,DOD100_1C1C_40degC,development,1,4,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FMW48,DOD20_2C2C_40degC,development,1,13,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FMYNP,DOD80_2C2C_25degC,holdout,,13,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FN0IZ,DOD20_2C2C_40degC,development,3,13,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FN3JX,DOD100_2C2C_40degC,development,0,4,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FN6H3,DOD20_2C2C_25degC,development,0,13,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FN72C,DOD20_2C2C_25degC,development,4,13,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FN8BU,DOD100_2C2C_25degC,development,2,9,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FNA0F,DOD100_1C1C_40degC,development,0,4,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
